 >REASHP: option FROM_FILE
     24351 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -40.50000 -40.50000 -40.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   24   36   38 2 2 2
      2   24   36   39 2 2 2
      3   24   36   40 2 2 2
      4   24   36   41 2 2 2
      5   24   36   42 2 2 2
      6   24   36   43 2 2 2
      7   24   36   44 2 2 2
      8   24   37   37 2 2 2
      9   24   37   38 2 2 2
     10   24   37   39 2 2 2
     11   24   37   40 1 1 1
     12   24   37   41 1 1 1
     13   24   37   42 1 1 1
     14   24   37   43 2 2 2
     15   24   37   44 2 2 2
     16   24   37   45 2 2 2
     17   24   38   36 2 2 2
     18   24   38   37 2 2 2
     19   24   38   38 2 2 2
     20   24   38   39 1 1 1
     21   24   38   40 1 1 1
     22   24   38   41 1 1 1
     23   24   38   42 1 1 1
     24   24   38   43 1 1 1
     25   24   38   44 2 2 2
     26   24   38   45 2 2 2
     27   24   38   46 2 2 2
     28   24   39   36 2 2 2
     29   24   39   37 2 2 2
     30   24   39   38 1 1 1
     31   24   39   39 1 1 1
     32   24   39   40 1 1 1
     33   24   39   41 1 1 1
     34   24   39   42 1 1 1
     35   24   39   43 1 1 1
     36   24   39   44 1 1 1
     37   24   39   45 2 2 2
     38   24   39   46 2 2 2
     39   24   40   36 2 2 2
     40   24   40   37 1 1 1
     41   24   40   38 1 1 1
     42   24   40   39 1 1 1
     43   24   40   40 1 1 1
     44   24   40   41 1 1 1
     45   24   40   42 1 1 1
     46   24   40   43 1 1 1
     47   24   40   44 1 1 1
     48   24   40   45 1 1 1
     49   24   40   46 2 2 2
     50   24   41   36 2 2 2
     51   24   41   37 1 1 1
     52   24   41   38 1 1 1
     53   24   41   39 1 1 1
     54   24   41   40 1 1 1
     55   24   41   41 1 1 1
     56   24   41   42 1 1 1
     57   24   41   43 1 1 1
     58   24   41   44 1 1 1
     59   24   41   45 1 1 1
     60   24   41   46 2 2 2
     61   24   42   36 2 2 2
     62   24   42   37 1 1 1
     63   24   42   38 1 1 1
     64   24   42   39 1 1 1
     65   24   42   40 1 1 1
     66   24   42   41 1 1 1
     67   24   42   42 1 1 1
     68   24   42   43 1 1 1
     69   24   42   44 1 1 1
     70   24   42   45 1 1 1
     71   24   42   46 2 2 2
     72   24   43   36 2 2 2
     73   24   43   37 2 2 2
     74   24   43   38 1 1 1
     75   24   43   39 1 1 1
     76   24   43   40 1 1 1
     77   24   43   41 1 1 1
     78   24   43   42 1 1 1
     79   24   43   43 1 1 1
     80   24   43   44 1 1 1
     81   24   43   45 2 2 2
     82   24   43   46 2 2 2
     83   24   44   36 2 2 2
     84   24   44   37 2 2 2
     85   24   44   38 2 2 2
     86   24   44   39 1 1 1
     87   24   44   40 1 1 1
     88   24   44   41 1 1 1
     89   24   44   42 1 1 1
     90   24   44   43 1 1 1
     91   24   44   44 2 2 2
     92   24   44   45 2 2 2
     93   24   44   46 2 2 2
     94   24   45   37 2 2 2
     95   24   45   38 2 2 2
     96   24   45   39 2 2 2
     97   24   45   40 1 1 1
     98   24   45   41 1 1 1
     99   24   45   42 1 1 1
    100   24   45   43 2 2 2
    101   24   45   44 2 2 2
    102   24   45   45 2 2 2
    103   24   46   38 2 2 2
    104   24   46   39 2 2 2
    105   24   46   40 2 2 2
    106   24   46   41 2 2 2
    107   24   46   42 2 2 2
    108   24   46   43 2 2 2
    109   24   46   44 2 2 2
    110   25   33   39 2 2 2
    111   25   33   40 2 2 2
    112   25   33   41 2 2 2
    113   25   33   42 2 2 2
    114   25   33   43 2 2 2
    115   25   34   37 2 2 2
    116   25   34   38 2 2 2
    117   25   34   39 2 2 2
    118   25   34   40 1 1 1
    119   25   34   41 1 1 1
    120   25   34   42 1 1 1
    121   25   34   43 2 2 2
    122   25   34   44 2 2 2
    123   25   34   45 2 2 2
    124   25   35   36 2 2 2
    125   25   35   37 2 2 2
    126   25   35   38 1 1 1
    127   25   35   39 1 1 1
    128   25   35   40 1 1 1
    129   25   35   41 1 1 1
    130   25   35   42 1 1 1
    131   25   35   43 1 1 1
    132   25   35   44 1 1 1
    133   25   35   45 2 2 2
    134   25   35   46 2 2 2
    135   25   36   35 2 2 2
    136   25   36   36 1 1 1
    137   25   36   37 1 1 1
    138   25   36   38 1 1 1
    139   25   36   39 1 1 1
    140   25   36   40 1 1 1
    141   25   36   41 1 1 1
    142   25   36   42 1 1 1
    143   25   36   43 1 1 1
    144   25   36   44 1 1 1
    145   25   36   45 1 1 1
    146   25   36   46 1 1 1
    147   25   36   47 2 2 2
    148   25   37   34 2 2 2
    149   25   37   35 2 2 2
    150   25   37   36 1 1 1
    151   25   37   37 1 1 1
    152   25   37   38 1 1 1
    153   25   37   39 1 1 1
    154   25   37   40 1 1 1
    155   25   37   41 1 1 1
    156   25   37   42 1 1 1
    157   25   37   43 1 1 1
    158   25   37   44 1 1 1
    159   25   37   45 1 1 1
    160   25   37   46 1 1 1
    161   25   37   47 2 2 2
    162   25   37   48 2 2 2
    163   25   38   34 2 2 2
    164   25   38   35 1 1 1
    165   25   38   36 1 1 1
    166   25   38   37 1 1 1
    167   25   38   38 1 1 1
    168   25   38   39 1 1 1
    169   25   38   40 1 1 1
    170   25   38   41 1 1 1
    171   25   38   42 1 1 1
    172   25   38   43 1 1 1
    173   25   38   44 1 1 1
    174   25   38   45 1 1 1
    175   25   38   46 1 1 1
    176   25   38   47 1 1 1
    177   25   38   48 2 2 2
    178   25   39   33 2 2 2
    179   25   39   34 2 2 2
    180   25   39   35 1 1 1
    181   25   39   36 1 1 1
    182   25   39   37 1 1 1
    183   25   39   38 1 1 1
    184   25   39   39 1 1 1
    185   25   39   40 1 1 1
    186   25   39   41 1 1 1
    187   25   39   42 1 1 1
    188   25   39   43 1 1 1
    189   25   39   44 1 1 1
    190   25   39   45 1 1 1
    191   25   39   46 1 1 1
    192   25   39   47 1 1 1
    193   25   39   48 2 2 2
    194   25   39   49 2 2 2
    195   25   40   33 2 2 2
    196   25   40   34 1 1 1
    197   25   40   35 1 1 1
    198   25   40   36 1 1 1
    199   25   40   37 1 1 1
    200   25   40   38 1 1 1
    201   25   40   39 1 1 1
    202   25   40   40 1 1 1
    203   25   40   41 1 1 1
    204   25   40   42 1 1 1
    205   25   40   43 1 1 1
    206   25   40   44 1 1 1
    207   25   40   45 1 1 1
    208   25   40   46 1 1 1
    209   25   40   47 1 1 1
    210   25   40   48 1 1 1
    211   25   40   49 2 2 2
    212   25   41   33 2 2 2
    213   25   41   34 1 1 1
    214   25   41   35 1 1 1
    215   25   41   36 1 1 1
    216   25   41   37 1 1 1
    217   25   41   38 1 1 1
    218   25   41   39 1 1 1
    219   25   41   40 1 1 1
    220   25   41   41 1 1 1
    221   25   41   42 1 1 1
