>TARGSPHER  spherical target with explicit spacing
28639 = NAT
1.000000  0.000000  0.000000 = A_1 vector
0.000000  1.000000  0.000000 = A_2 vector
1.000000  1.000000  1.000000 = (d_x,d_y,d_z)/d
-40.5 -40.5 -40.5 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 1,1,1
    JA   IX   IY   IZ ICOMP(x,y,z)
     1  22  41  41 2 2 2
     2  23  35  41 2 2 2
     3  23  36  38 2 2 2
     4  23  36  39 2 2 2
     5  23  36  40 2 2 2
     6  23  36  41 2 2 2
     7  23  36  42 2 2 2
     8  23  36  43 2 2 2
     9  23  36  44 2 2 2
    10  23  37  37 2 2 2
    11  23  37  38 2 2 2
    12  23  37  39 2 2 2
    13  23  37  40 2 2 2
    14  23  37  41 2 2 2
    15  23  37  42 2 2 2
    16  23  37  43 2 2 2
    17  23  37  44 2 2 2
    18  23  37  45 2 2 2
    19  23  38  36 2 2 2
    20  23  38  37 2 2 2
    21  23  38  38 2 2 2
    22  23  38  39 2 2 2
    23  23  38  40 2 2 2
    24  23  38  41 2 2 2
    25  23  38  42 2 2 2
    26  23  38  43 2 2 2
    27  23  38  44 2 2 2
    28  23  38  45 2 2 2
    29  23  38  46 2 2 2
    30  23  39  36 2 2 2
    31  23  39  37 2 2 2
    32  23  39  38 2 2 2
    33  23  39  39 2 2 2
    34  23  39  40 2 2 2
    35  23  39  41 2 2 2
    36  23  39  42 2 2 2
    37  23  39  43 2 2 2
    38  23  39  44 2 2 2
    39  23  39  45 2 2 2
    40  23  39  46 2 2 2
    41  23  40  36 2 2 2
    42  23  40  37 2 2 2
    43  23  40  38 2 2 2
    44  23  40  39 2 2 2
    45  23  40  40 2 2 2
    46  23  40  41 2 2 2
    47  23  40  42 2 2 2
    48  23  40  43 2 2 2
    49  23  40  44 2 2 2
    50  23  40  45 2 2 2
    51  23  40  46 2 2 2
    52  23  41  35 2 2 2
    53  23  41  36 2 2 2
    54  23  41  37 2 2 2
    55  23  41  38 2 2 2
    56  23  41  39 2 2 2
    57  23  41  40 2 2 2
    58  23  41  41 2 2 2
    59  23  41  42 2 2 2
    60  23  41  43 2 2 2
    61  23  41  44 2 2 2
    62  23  41  45 2 2 2
    63  23  41  46 2 2 2
    64  23  41  47 2 2 2
    65  23  42  36 2 2 2
    66  23  42  37 2 2 2
    67  23  42  38 2 2 2
    68  23  42  39 2 2 2
    69  23  42  40 2 2 2
    70  23  42  41 2 2 2
    71  23  42  42 2 2 2
    72  23  42  43 2 2 2
    73  23  42  44 2 2 2
    74  23  42  45 2 2 2
    75  23  42  46 2 2 2
    76  23  43  36 2 2 2
    77  23  43  37 2 2 2
    78  23  43  38 2 2 2
    79  23  43  39 2 2 2
    80  23  43  40 2 2 2
    81  23  43  41 2 2 2
    82  23  43  42 2 2 2
    83  23  43  43 2 2 2
    84  23  43  44 2 2 2
    85  23  43  45 2 2 2
    86  23  43  46 2 2 2
    87  23  44  36 2 2 2
    88  23  44  37 2 2 2
    89  23  44  38 2 2 2
    90  23  44  39 2 2 2
    91  23  44  40 2 2 2
    92  23  44  41 2 2 2
    93  23  44  42 2 2 2
    94  23  44  43 2 2 2
    95  23  44  44 2 2 2
    96  23  44  45 2 2 2
    97  23  44  46 2 2 2
    98  23  45  37 2 2 2
    99  23  45  38 2 2 2
   100  23  45  39 2 2 2
   101  23  45  40 2 2 2
   102  23  45  41 2 2 2
   103  23  45  42 2 2 2
   104  23  45  43 2 2 2
   105  23  45  44 2 2 2
   106  23  45  45 2 2 2
   107  23  46  38 2 2 2
   108  23  46  39 2 2 2
   109  23  46  40 2 2 2
   110  23  46  41 2 2 2
   111  23  46  42 2 2 2
   112  23  46  43 2 2 2
   113  23  46  44 2 2 2
   114  23  47  41 2 2 2
   115  24  33  39 2 2 2
   116  24  33  40 2 2 2
   117  24  33  41 2 2 2
   118  24  33  42 2 2 2
   119  24  33  43 2 2 2
   120  24  34  37 2 2 2
   121  24  34  38 2 2 2
   122  24  34  39 2 2 2
   123  24  34  40 2 2 2
   124  24  34  41 2 2 2
   125  24  34  42 2 2 2
   126  24  34  43 2 2 2
   127  24  34  44 2 2 2
   128  24  34  45 2 2 2
   129  24  35  35 2 2 2
   130  24  35  36 2 2 2
   131  24  35  37 2 2 2
   132  24  35  38 2 2 2
   133  24  35  39 2 2 2
   134  24  35  40 2 2 2
   135  24  35  41 2 2 2
   136  24  35  42 2 2 2
   137  24  35  43 2 2 2
   138  24  35  44 2 2 2
   139  24  35  45 2 2 2
   140  24  35  46 2 2 2
   141  24  35  47 2 2 2
   142  24  36  35 2 2 2
   143  24  36  36 2 2 2
   144  24  36  37 2 2 2
   145  24  36  38 2 2 2
   146  24  36  39 2 2 2
   147  24  36  40 2 2 2
   148  24  36  41 2 2 2
   149  24  36  42 2 2 2
   150  24  36  43 2 2 2
   151  24  36  44 2 2 2
   152  24  36  45 2 2 2
   153  24  36  46 2 2 2
   154  24  36  47 2 2 2
   155  24  37  34 2 2 2
   156  24  37  35 2 2 2
   157  24  37  36 2 2 2
   158  24  37  37 2 2 2
   159  24  37  38 2 2 2
   160  24  37  39 2 2 2
   161  24  37  40 1 1 1
   162  24  37  41 1 1 1
   163  24  37  42 1 1 1
   164  24  37  43 2 2 2
   165  24  37  44 2 2 2
   166  24  37  45 2 2 2
   167  24  37  46 2 2 2
   168  24  37  47 2 2 2
   169  24  37  48 2 2 2
   170  24  38  34 2 2 2
   171  24  38  35 2 2 2
   172  24  38  36 2 2 2
   173  24  38  37 2 2 2
   174  24  38  38 2 2 2
   175  24  38  39 1 1 1
   176  24  38  40 1 1 1
   177  24  38  41 1 1 1
   178  24  38  42 1 1 1
   179  24  38  43 1 1 1
   180  24  38  44 2 2 2
   181  24  38  45 2 2 2
   182  24  38  46 2 2 2
   183  24  38  47 2 2 2
   184  24  38  48 2 2 2
   185  24  39  33 2 2 2
   186  24  39  34 2 2 2
   187  24  39  35 2 2 2
   188  24  39  36 2 2 2
   189  24  39  37 2 2 2
   190  24  39  38 1 1 1
   191  24  39  39 1 1 1
   192  24  39  40 1 1 1
   193  24  39  41 1 1 1
   194  24  39  42 1 1 1
   195  24  39  43 1 1 1
   196  24  39  44 1 1 1
   197  24  39  45 2 2 2
   198  24  39  46 2 2 2
   199  24  39  47 2 2 2
   200  24  39  48 2 2 2
   201  24  39  49 2 2 2
   202  24  40  33 2 2 2
   203  24  40  34 2 2 2
