>TARGSPHER  spherical target with explicit spacing
3887 = NAT
1.000000  0.000000  0.000000 = A_1 vector
0.000000  1.000000  0.000000 = A_2 vector
1.000000  1.000000  1.000000 = (d_x,d_y,d_z)/d
-20.5 -20.5 -20.5 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 1,1,1
    JA   IX   IY   IZ ICOMP(x,y,z)
     1  12  18  19 2 2 2
     2  12  18  20 2 2 2
     3  12  18  21 2 2 2
     4  12  18  22 2 2 2
     5  12  18  23 2 2 2
     6  12  19  18 2 2 2
     7  12  19  19 2 2 2
     8  12  19  20 2 2 2
     9  12  19  21 2 2 2
    10  12  19  22 2 2 2
    11  12  19  23 2 2 2
    12  12  19  24 2 2 2
    13  12  20  18 2 2 2
    14  12  20  19 2 2 2
    15  12  20  20 2 2 2
    16  12  20  21 2 2 2
    17  12  20  22 2 2 2
    18  12  20  23 2 2 2
    19  12  20  24 2 2 2
    20  12  21  18 2 2 2
    21  12  21  19 2 2 2
    22  12  21  20 2 2 2
    23  12  21  21 2 2 2
    24  12  21  22 2 2 2
    25  12  21  23 2 2 2
    26  12  21  24 2 2 2
    27  12  22  18 2 2 2
    28  12  22  19 2 2 2
    29  12  22  20 2 2 2
    30  12  22  21 2 2 2
    31  12  22  22 2 2 2
    32  12  22  23 2 2 2
    33  12  22  24 2 2 2
    34  12  23  18 2 2 2
    35  12  23  19 2 2 2
    36  12  23  20 2 2 2
    37  12  23  21 2 2 2
    38  12  23  22 2 2 2
    39  12  23  23 2 2 2
    40  12  23  24 2 2 2
    41  12  24  19 2 2 2
    42  12  24  20 2 2 2
    43  12  24  21 2 2 2
    44  12  24  22 2 2 2
    45  12  24  23 2 2 2
    46  13  16  19 2 2 2
    47  13  16  20 2 2 2
    48  13  16  21 2 2 2
    49  13  16  22 2 2 2
    50  13  16  23 2 2 2
    51  13  17  18 2 2 2
    52  13  17  19 2 2 2
    53  13  17  20 2 2 2
    54  13  17  21 2 2 2
    55  13  17  22 2 2 2
    56  13  17  23 2 2 2
    57  13  17  24 2 2 2
    58  13  18  17 2 2 2
    59  13  18  18 2 2 2
    60  13  18  19 2 2 2
    61  13  18  20 1 1 1
    62  13  18  21 1 1 1
    63  13  18  22 1 1 1
    64  13  18  23 2 2 2
    65  13  18  24 2 2 2
    66  13  18  25 2 2 2
    67  13  19  16 2 2 2
    68  13  19  17 2 2 2
    69  13  19  18 2 2 2
    70  13  19  19 1 1 1
    71  13  19  20 1 1 1
    72  13  19  21 1 1 1
    73  13  19  22 1 1 1
    74  13  19  23 1 1 1
    75  13  19  24 2 2 2
    76  13  19  25 2 2 2
    77  13  19  26 2 2 2
    78  13  20  16 2 2 2
    79  13  20  17 2 2 2
    80  13  20  18 1 1 1
    81  13  20  19 1 1 1
    82  13  20  20 1 1 1
    83  13  20  21 1 1 1
    84  13  20  22 1 1 1
    85  13  20  23 1 1 1
    86  13  20  24 1 1 1
    87  13  20  25 2 2 2
    88  13  20  26 2 2 2
    89  13  21  16 2 2 2
    90  13  21  17 2 2 2
    91  13  21  18 1 1 1
    92  13  21  19 1 1 1
    93  13  21  20 1 1 1
    94  13  21  21 1 1 1
    95  13  21  22 1 1 1
    96  13  21  23 1 1 1
    97  13  21  24 1 1 1
    98  13  21  25 2 2 2
    99  13  21  26 2 2 2
   100  13  22  16 2 2 2
   101  13  22  17 2 2 2
   102  13  22  18 1 1 1
   103  13  22  19 1 1 1
   104  13  22  20 1 1 1
   105  13  22  21 1 1 1
   106  13  22  22 1 1 1
   107  13  22  23 1 1 1
   108  13  22  24 1 1 1
   109  13  22  25 2 2 2
   110  13  22  26 2 2 2
   111  13  23  16 2 2 2
   112  13  23  17 2 2 2
   113  13  23  18 2 2 2
   114  13  23  19 1 1 1
   115  13  23  20 1 1 1
   116  13  23  21 1 1 1
   117  13  23  22 1 1 1
   118  13  23  23 1 1 1
   119  13  23  24 2 2 2
   120  13  23  25 2 2 2
   121  13  23  26 2 2 2
   122  13  24  17 2 2 2
   123  13  24  18 2 2 2
   124  13  24  19 2 2 2
   125  13  24  20 1 1 1
   126  13  24  21 1 1 1
   127  13  24  22 1 1 1
   128  13  24  23 2 2 2
   129  13  24  24 2 2 2
   130  13  24  25 2 2 2
   131  13  25  18 2 2 2
   132  13  25  19 2 2 2
   133  13  25  20 2 2 2
   134  13  25  21 2 2 2
   135  13  25  22 2 2 2
   136  13  25  23 2 2 2
   137  13  25  24 2 2 2
   138  13  26  19 2 2 2
   139  13  26  20 2 2 2
   140  13  26  21 2 2 2
   141  13  26  22 2 2 2
   142  13  26  23 2 2 2
   143  14  15  18 2 2 2
   144  14  15  19 2 2 2
   145  14  15  20 2 2 2
   146  14  15  21 2 2 2
   147  14  15  22 2 2 2
   148  14  15  23 2 2 2
   149  14  15  24 2 2 2
   150  14  16  17 2 2 2
   151  14  16  18 2 2 2
   152  14  16  19 2 2 2
   153  14  16  20 1 1 1
   154  14  16  21 1 1 1
   155  14  16  22 1 1 1
   156  14  16  23 2 2 2
   157  14  16  24 2 2 2
   158  14  16  25 2 2 2
   159  14  17  16 2 2 2
   160  14  17  17 2 2 2
   161  14  17  18 1 1 1
   162  14  17  19 1 1 1
   163  14  17  20 1 1 1
   164  14  17  21 1 1 1
   165  14  17  22 1 1 1
   166  14  17  23 1 1 1
   167  14  17  24 1 1 1
   168  14  17  25 2 2 2
   169  14  17  26 2 2 2
   170  14  18  15 2 2 2
   171  14  18  16 2 2 2
   172  14  18  17 1 1 1
   173  14  18  18 1 1 1
   174  14  18  19 1 1 1
   175  14  18  20 1 1 1
   176  14  18  21 1 1 1
   177  14  18  22 1 1 1
   178  14  18  23 1 1 1
   179  14  18  24 1 1 1
   180  14  18  25 1 1 1
   181  14  18  26 2 2 2
   182  14  18  27 2 2 2
   183  14  19  15 2 2 2
   184  14  19  16 2 2 2
   185  14  19  17 1 1 1
   186  14  19  18 1 1 1
   187  14  19  19 1 1 1
   188  14  19  20 1 1 1
   189  14  19  21 1 1 1
   190  14  19  22 1 1 1
   191  14  19  23 1 1 1
   192  14  19  24 1 1 1
   193  14  19  25 1 1 1
   194  14  19  26 2 2 2
   195  14  19  27 2 2 2
   196  14  20  15 2 2 2
   197  14  20  16 1 1 1
