>TARGSPHER  spherical target with explicit spacing
22575 = NAT
1.000000  0.000000  0.000000 = A_1 vector
0.000000  1.000000  0.000000 = A_2 vector
1.000000  1.000000  1.000000 = (d_x,d_y,d_z)/d
-40.5 -40.5 -40.5 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 1,1,1
    JA   IX   IY   IZ ICOMP(x,y,z)
     1  24  37  40 1 1 1
     2  24  37  41 1 1 1
     3  24  37  42 1 1 1
     4  24  38  39 1 1 1
     5  24  38  40 1 1 1
     6  24  38  41 1 1 1
     7  24  38  42 1 1 1
     8  24  38  43 1 1 1
     9  24  39  38 1 1 1
    10  24  39  39 1 1 1
    11  24  39  40 1 1 1
    12  24  39  41 1 1 1
    13  24  39  42 1 1 1
    14  24  39  43 1 1 1
    15  24  39  44 1 1 1
    16  24  40  37 1 1 1
    17  24  40  38 1 1 1
    18  24  40  39 1 1 1
    19  24  40  40 1 1 1
    20  24  40  41 1 1 1
    21  24  40  42 1 1 1
    22  24  40  43 1 1 1
    23  24  40  44 1 1 1
    24  24  40  45 1 1 1
    25  24  41  37 1 1 1
    26  24  41  38 1 1 1
    27  24  41  39 1 1 1
    28  24  41  40 1 1 1
    29  24  41  41 1 1 1
    30  24  41  42 1 1 1
    31  24  41  43 1 1 1
    32  24  41  44 1 1 1
    33  24  41  45 1 1 1
    34  24  42  37 1 1 1
    35  24  42  38 1 1 1
    36  24  42  39 1 1 1
    37  24  42  40 1 1 1
    38  24  42  41 1 1 1
    39  24  42  42 1 1 1
    40  24  42  43 1 1 1
    41  24  42  44 1 1 1
    42  24  42  45 1 1 1
    43  24  43  38 1 1 1
    44  24  43  39 1 1 1
    45  24  43  40 1 1 1
    46  24  43  41 1 1 1
    47  24  43  42 1 1 1
    48  24  43  43 1 1 1
    49  24  43  44 1 1 1
    50  24  44  39 1 1 1
    51  24  44  40 1 1 1
    52  24  44  41 1 1 1
    53  24  44  42 1 1 1
    54  24  44  43 1 1 1
    55  24  45  40 1 1 1
    56  24  45  41 1 1 1
    57  24  45  42 1 1 1
    58  25  34  40 1 1 1
    59  25  34  41 1 1 1
    60  25  34  42 1 1 1
    61  25  35  38 1 1 1
    62  25  35  39 1 1 1
    63  25  35  40 1 1 1
    64  25  35  41 1 1 1
    65  25  35  42 1 1 1
    66  25  35  43 1 1 1
    67  25  35  44 1 1 1
    68  25  36  36 1 1 1
    69  25  36  37 1 1 1
    70  25  36  38 1 1 1
    71  25  36  39 1 1 1
    72  25  36  40 1 1 1
    73  25  36  41 1 1 1
    74  25  36  42 1 1 1
    75  25  36  43 1 1 1
    76  25  36  44 1 1 1
    77  25  36  45 1 1 1
    78  25  36  46 1 1 1
    79  25  37  36 1 1 1
    80  25  37  37 1 1 1
    81  25  37  38 1 1 1
    82  25  37  39 1 1 1
    83  25  37  40 1 1 1
    84  25  37  41 1 1 1
    85  25  37  42 1 1 1
    86  25  37  43 1 1 1
    87  25  37  44 1 1 1
    88  25  37  45 1 1 1
    89  25  37  46 1 1 1
    90  25  38  35 1 1 1
    91  25  38  36 1 1 1
    92  25  38  37 1 1 1
    93  25  38  38 1 1 1
    94  25  38  39 1 1 1
    95  25  38  40 1 1 1
    96  25  38  41 1 1 1
    97  25  38  42 1 1 1
    98  25  38  43 1 1 1
    99  25  38  44 1 1 1
   100  25  38  45 1 1 1
   101  25  38  46 1 1 1
   102  25  38  47 1 1 1
   103  25  39  35 1 1 1
   104  25  39  36 1 1 1
   105  25  39  37 1 1 1
   106  25  39  38 1 1 1
   107  25  39  39 1 1 1
   108  25  39  40 1 1 1
   109  25  39  41 1 1 1
   110  25  39  42 1 1 1
   111  25  39  43 1 1 1
   112  25  39  44 1 1 1
   113  25  39  45 1 1 1
   114  25  39  46 1 1 1
   115  25  39  47 1 1 1
   116  25  40  34 1 1 1
   117  25  40  35 1 1 1
   118  25  40  36 1 1 1
   119  25  40  37 1 1 1
   120  25  40  38 1 1 1
   121  25  40  39 1 1 1
   122  25  40  40 1 1 1
   123  25  40  41 1 1 1
   124  25  40  42 1 1 1
   125  25  40  43 1 1 1
   126  25  40  44 1 1 1
   127  25  40  45 1 1 1
   128  25  40  46 1 1 1
   129  25  40  47 1 1 1
   130  25  40  48 1 1 1
   131  25  41  34 1 1 1
   132  25  41  35 1 1 1
   133  25  41  36 1 1 1
   134  25  41  37 1 1 1
   135  25  41  38 1 1 1
   136  25  41  39 1 1 1
   137  25  41  40 1 1 1
   138  25  41  41 1 1 1
   139  25  41  42 1 1 1
   140  25  41  43 1 1 1
   141  25  41  44 1 1 1
   142  25  41  45 1 1 1
   143  25  41  46 1 1 1
   144  25  41  47 1 1 1
   145  25  41  48 1 1 1
   146  25  42  34 1 1 1
   147  25  42  35 1 1 1
   148  25  42  36 1 1 1
   149  25  42  37 1 1 1
   150  25  42  38 1 1 1
   151  25  42  39 1 1 1
   152  25  42  40 1 1 1
   153  25  42  41 1 1 1
   154  25  42  42 1 1 1
   155  25  42  43 1 1 1
   156  25  42  44 1 1 1
