>TARGSPHER  spherical target with explicit spacing
8217 = NAT
1.000000  0.000000  0.000000 = A_1 vector
0.000000  1.000000  0.000000 = A_2 vector
1.000000  1.000000  1.000000 = (d_x,d_y,d_z)/d
-40.5 -40.5 -40.5 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 1,1,1
    JA   IX   IY   IZ ICOMP(x,y,z)
     1  29  38  40 1 1 1
     2  29  38  41 1 1 1
     3  29  38  42 1 1 1
     4  29  39  39 1 1 1
     5  29  39  40 1 1 1
     6  29  39  41 1 1 1
     7  29  39  42 1 1 1
     8  29  39  43 1 1 1
     9  29  40  38 1 1 1
    10  29  40  39 1 1 1
    11  29  40  40 1 1 1
    12  29  40  41 1 1 1
    13  29  40  42 1 1 1
    14  29  40  43 1 1 1
    15  29  40  44 1 1 1
    16  29  41  38 1 1 1
    17  29  41  39 1 1 1
    18  29  41  40 1 1 1
    19  29  41  41 1 1 1
    20  29  41  42 1 1 1
    21  29  41  43 1 1 1
    22  29  41  44 1 1 1
    23  29  42  38 1 1 1
    24  29  42  39 1 1 1
    25  29  42  40 1 1 1
    26  29  42  41 1 1 1
    27  29  42  42 1 1 1
    28  29  42  43 1 1 1
    29  29  42  44 1 1 1
    30  29  43  39 1 1 1
    31  29  43  40 1 1 1
    32  29  43  41 1 1 1
    33  29  43  42 1 1 1
    34  29  43  43 1 1 1
    35  29  44  40 1 1 1
    36  29  44  41 1 1 1
    37  29  44  42 1 1 1
    38  30  36  38 1 1 1
    39  30  36  39 1 1 1
    40  30  36  40 1 1 1
    41  30  36  41 1 1 1
    42  30  36  42 1 1 1
    43  30  36  43 1 1 1
    44  30  36  44 1 1 1
    45  30  37  37 1 1 1
    46  30  37  38 1 1 1
    47  30  37  39 1 1 1
    48  30  37  40 1 1 1
    49  30  37  41 1 1 1
    50  30  37  42 1 1 1
    51  30  37  43 1 1 1
    52  30  37  44 1 1 1
    53  30  37  45 1 1 1
    54  30  38  36 1 1 1
    55  30  38  37 1 1 1
    56  30  38  38 1 1 1
    57  30  38  39 1 1 1
    58  30  38  40 1 1 1
    59  30  38  41 1 1 1
    60  30  38  42 1 1 1
    61  30  38  43 1 1 1
    62  30  38  44 1 1 1
    63  30  38  45 1 1 1
    64  30  38  46 1 1 1
    65  30  39  36 1 1 1
    66  30  39  37 1 1 1
    67  30  39  38 1 1 1
    68  30  39  39 1 1 1
    69  30  39  40 1 1 1
    70  30  39  41 1 1 1
    71  30  39  42 1 1 1
    72  30  39  43 1 1 1
    73  30  39  44 1 1 1
    74  30  39  45 1 1 1
    75  30  39  46 1 1 1
    76  30  40  36 1 1 1
    77  30  40  37 1 1 1
    78  30  40  38 1 1 1
    79  30  40  39 1 1 1
    80  30  40  40 1 1 1
    81  30  40  41 1 1 1
    82  30  40  42 1 1 1
    83  30  40  43 1 1 1
    84  30  40  44 1 1 1
    85  30  40  45 1 1 1
    86  30  40  46 1 1 1
    87  30  41  36 1 1 1
    88  30  41  37 1 1 1
    89  30  41  38 1 1 1
    90  30  41  39 1 1 1
    91  30  41  40 1 1 1
    92  30  41  41 1 1 1
    93  30  41  42 1 1 1
    94  30  41  43 1 1 1
    95  30  41  44 1 1 1
    96  30  41  45 1 1 1
    97  30  41  46 1 1 1
    98  30  42  36 1 1 1
    99  30  42  37 1 1 1
   100  30  42  38 1 1 1
   101  30  42  39 1 1 1
   102  30  42  40 1 1 1
   103  30  42  41 1 1 1
   104  30  42  42 1 1 1
   105  30  42  43 1 1 1
   106  30  42  44 1 1 1
   107  30  42  45 1 1 1
   108  30  42  46 1 1 1
   109  30  43  36 1 1 1
   110  30  43  37 1 1 1
   111  30  43  38 1 1 1
   112  30  43  39 1 1 1
   113  30  43  40 1 1 1
   114  30  43  41 1 1 1
   115  30  43  42 1 1 1
   116  30  43  43 1 1 1
   117  30  43  44 1 1 1
   118  30  43  45 1 1 1
   119  30  43  46 1 1 1
   120  30  44  36 1 1 1
   121  30  44  37 1 1 1
   122  30  44  38 1 1 1
   123  30  44  39 1 1 1
   124  30  44  40 1 1 1
   125  30  44  41 1 1 1
   126  30  44  42 1 1 1
   127  30  44  43 1 1 1
   128  30  44  44 1 1 1
   129  30  44  45 1 1 1
   130  30  44  46 1 1 1
   131  30  45  37 1 1 1
   132  30  45  38 1 1 1
   133  30  45  39 1 1 1
   134  30  45  40 1 1 1
   135  30  45  41 1 1 1
   136  30  45  42 1 1 1
   137  30  45  43 1 1 1
   138  30  45  44 1 1 1
   139  30  45  45 1 1 1
   140  30  46  38 1 1 1
   141  30  46  39 1 1 1
   142  30  46  40 1 1 1
   143  30  46  41 1 1 1
   144  30  46  42 1 1 1
   145  30  46  43 1 1 1
   146  30  46  44 1 1 1
   147  31  34  39 1 1 1
   148  31  34  40 1 1 1
   149  31  34  41 1 1 1
   150  31  34  42 1 1 1
   151  31  34  43 1 1 1
   152  31  35  37 1 1 1
   153  31  35  38 1 1 1
   154  31  35  39 1 1 1
   155  31  35  40 1 1 1
   156  31  35  41 1 1 1
   157  31  35  42 1 1 1
   158  31  35  43 1 1 1
   159  31  35  44 1 1 1
   160  31  35  45 1 1 1
   161  31  36  36 1 1 1
   162  31  36  37 1 1 1
   163  31  36  38 1 1 1
   164  31  36  39 1 1 1
   165  31  36  40 1 1 1
   166  31  36  41 1 1 1
   167  31  36  42 1 1 1
   168  31  36  43 1 1 1
   169  31  36  44 1 1 1
   170  31  36  45 1 1 1
   171  31  36  46 1 1 1
   172  31  37  35 1 1 1
   173  31  37  36 1 1 1
   174  31  37  37 1 1 1
   175  31  37  38 1 1 1
   176  31  37  39 1 1 1
   177  31  37  40 1 1 1
   178  31  37  41 1 1 1
   179  31  37  42 1 1 1
   180  31  37  43 1 1 1
   181  31  37  44 1 1 1
   182  31  37  45 1 1 1
   183  31  37  46 1 1 1
   184  31  37  47 1 1 1
   185  31  38  35 1 1 1
   186  31  38  36 1 1 1
   187  31  38  37 1 1 1
   188  31  38  38 1 1 1
   189  31  38  39 1 1 1
   190  31  38  40 1 1 1
   191  31  38  41 1 1 1
   192  31  38  42 1 1 1
   193  31  38  43 1 1 1
   194  31  38  44 1 1 1
   195  31  38  45 1 1 1
   196  31  38  46 1 1 1
   197  31  38  47 1 1 1
   198  31  39  34 1 1 1
   199  31  39  35 1 1 1
   200  31  39  36 1 1 1
   201  31  39  37 1 1 1
   202  31  39  38 1 1 1
   203  31  39  39 1 1 1
   204  31  39  40 1 1 1
   205  31  39  41 1 1 1
   206  31  39  42 1 1 1
   207  31  39  43 1 1 1
   208  31  39  44 1 1 1
   209  31  39  45 1 1 1
   210  31  39  46 1 1 1
   211  31  39  47 1 1 1
   212  31  39  48 1 1 1
   213  31  40  34 1 1 1
   214  31  40  35 1 1 1
   215  31  40  36 1 1 1
   216  31  40  37 1 1 1
   217  31  40  38 1 1 1
   218  31  40  39 1 1 1
   219  31  40  40 1 1 1
   220  31  40  41 1 1 1
   221  31  40  42 1 1 1
   222  31  40  43 1 1 1
   223  31  40  44 1 1 1
   224  31  40  45 1 1 1
   225  31  40  46 1 1 1
   226  31  40  47 1 1 1
   227  31  40  48 1 1 1
   228  31  41  34 1 1 1
   229  31  41  35 1 1 1
   230  31  41  36 1 1 1
   231  31  41  37 1 1 1
   232  31  41  38 1 1 1
   233  31  41  39 1 1 1
   234  31  41  40 1 1 1
   235  31  41  41 1 1 1
   236  31  41  42 1 1 1
   237  31  41  43 1 1 1
   238  31  41  44 1 1 1
   239  31  41  45 1 1 1
   240  31  41  46 1 1 1
   241  31  41  47 1 1 1
   242  31  41  48 1 1 1
   243  31  42  34 1 1 1
   244  31  42  35 1 1 1
   245  31  42  36 1 1 1
   246  31  42  37 1 1 1
   247  31  42  38 1 1 1
   248  31  42  39 1 1 1
   249  31  42  40 1 1 1
   250  31  42  41 1 1 1
   251  31  42  42 1 1 1
   252  31  42  43 1 1 1
   253  31  42  44 1 1 1
   254  31  42  45 1 1 1
   255  31  42  46 1 1 1
   256  31  42  47 1 1 1
   257  31  42  48 1 1 1
   258  31  43  34 1 1 1
   259  31  43  35 1 1 1
   260  31  43  36 1 1 1
   261  31  43  37 1 1 1
   262  31  43  38 1 1 1
   263  31  43  39 1 1 1
   264  31  43  40 1 1 1
   265  31  43  41 1 1 1
   266  31  43  42 1 1 1
   267  31  43  43 1 1 1
   268  31  43  44 1 1 1
   269  31  43  45 1 1 1
   270  31  43  46 1 1 1
   271  31  43  47 1 1 1
   272  31  43  48 1 1 1
   273  31  44  35 1 1 1
   274  31  44  36 1 1 1
   275  31  44  37 1 1 1
   276  31  44  38 1 1 1
   277  31  44  39 1 1 1
   278  31  44  40 1 1 1
   279  31  44  41 1 1 1
   280  31  44  42 1 1 1
   281  31  44  43 1 1 1
   282  31  44  44 1 1 1
   283  31  44  45 1 1 1
   284  31  44  46 1 1 1
   285  31  44  47 1 1 1
   286  31  45  35 1 1 1
   287  31  45  36 1 1 1
   288  31  45  37 1 1 1
   289  31  45  38 1 1 1
   290  31  45  39 1 1 1
   291  31  45  40 1 1 1
   292  31  45  41 1 1 1
   293  31  45  42 1 1 1
   294  31  45  43 1 1 1
   295  31  45  44 1 1 1
   296  31  45  45 1 1 1
   297  31  45  46 1 1 1
   298  31  45  47 1 1 1
   299  31  46  36 1 1 1
   300  31  46  37 1 1 1
   301  31  46  38 1 1 1
   302  31  46  39 1 1 1
   303  31  46  40 1 1 1
   304  31  46  41 1 1 1
   305  31  46  42 1 1 1
   306  31  46  43 1 1 1
   307  31  46  44 1 1 1
   308  31  46  45 1 1 1
   309  31  46  46 1 1 1
   310  31  47  37 1 1 1
   311  31  47  38 1 1 1
   312  31  47  39 1 1 1
   313  31  47  40 1 1 1
   314  31  47  41 1 1 1
   315  31  47  42 1 1 1
   316  31  47  43 1 1 1
   317  31  47  44 1 1 1
   318  31  47  45 1 1 1
   319  31  48  39 1 1 1
   320  31  48  40 1 1 1
   321  31  48  41 1 1 1
   322  31  48  42 1 1 1
   323  31  48  43 1 1 1
   324  32  33  38 1 1 1
   325  32  33  39 1 1 1
   326  32  33  40 1 1 1
   327  32  33  41 1 1 1
   328  32  33  42 1 1 1
   329  32  33  43 1 1 1
   330  32  33  44 1 1 1
   331  32  34  36 1 1 1
   332  32  34  37 1 1 1
   333  32  34  38 1 1 1
   334  32  34  39 1 1 1
   335  32  34  40 1 1 1
   336  32  34  41 1 1 1
   337  32  34  42 1 1 1
   338  32  34  43 1 1 1
   339  32  34  44 1 1 1
   340  32  34  45 1 1 1
   341  32  34  46 1 1 1
   342  32  35  35 1 1 1
   343  32  35  36 1 1 1
   344  32  35  37 1 1 1
   345  32  35  38 1 1 1
   346  32  35  39 1 1 1
   347  32  35  40 1 1 1
   348  32  35  41 1 1 1
   349  32  35  42 1 1 1
   350  32  35  43 1 1 1
   351  32  35  44 1 1 1
   352  32  35  45 1 1 1
   353  32  35  46 1 1 1
   354  32  35  47 1 1 1
   355  32  36  34 1 1 1
   356  32  36  35 1 1 1
   357  32  36  36 1 1 1
   358  32  36  37 1 1 1
   359  32  36  38 1 1 1
   360  32  36  39 1 1 1
   361  32  36  40 1 1 1
   362  32  36  41 1 1 1
   363  32  36  42 1 1 1
   364  32  36  43 1 1 1
   365  32  36  44 1 1 1
   366  32  36  45 1 1 1
   367  32  36  46 1 1 1
   368  32  36  47 1 1 1
   369  32  36  48 1 1 1
   370  32  37  34 1 1 1
   371  32  37  35 1 1 1
   372  32  37  36 1 1 1
   373  32  37  37 1 1 1
   374  32  37  38 1 1 1
   375  32  37  39 1 1 1
   376  32  37  40 1 1 1
   377  32  37  41 1 1 1
   378  32  37  42 1 1 1
   379  32  37  43 1 1 1
   380  32  37  44 1 1 1
   381  32  37  45 1 1 1
   382  32  37  46 1 1 1
   383  32  37  47 1 1 1
   384  32  37  48 1 1 1
   385  32  38  33 1 1 1
   386  32  38  34 1 1 1
   387  32  38  35 1 1 1
   388  32  38  36 1 1 1
   389  32  38  37 1 1 1
   390  32  38  38 1 1 1
   391  32  38  39 1 1 1
   392  32  38  40 1 1 1
   393  32  38  41 1 1 1
   394  32  38  42 1 1 1
   395  32  38  43 1 1 1
   396  32  38  44 1 1 1
   397  32  38  45 1 1 1
   398  32  38  46 1 1 1
   399  32  38  47 1 1 1
   400  32  38  48 1 1 1
   401  32  38  49 1 1 1
   402  32  39  33 1 1 1
   403  32  39  34 1 1 1
   404  32  39  35 1 1 1
   405  32  39  36 1 1 1
   406  32  39  37 1 1 1
   407  32  39  38 1 1 1
   408  32  39  39 1 1 1
   409  32  39  40 1 1 1
   410  32  39  41 1 1 1
   411  32  39  42 1 1 1
   412  32  39  43 1 1 1
   413  32  39  44 1 1 1
   414  32  39  45 1 1 1
   415  32  39  46 1 1 1
   416  32  39  47 1 1 1
   417  32  39  48 1 1 1
   418  32  39  49 1 1 1
   419  32  40  33 1 1 1
   420  32  40  34 1 1 1
   421  32  40  35 1 1 1
   422  32  40  36 1 1 1
   423  32  40  37 1 1 1
   424  32  40  38 1 1 1
   425  32  40  39 1 1 1
   426  32  40  40 1 1 1
   427  32  40  41 1 1 1
   428  32  40  42 1 1 1
   429  32  40  43 1 1 1
   430  32  40  44 1 1 1
   431  32  40  45 1 1 1
   432  32  40  46 1 1 1
   433  32  40  47 1 1 1
   434  32  40  48 1 1 1
   435  32  40  49 1 1 1
   436  32  41  33 1 1 1
   437  32  41  34 1 1 1
   438  32  41  35 1 1 1
   439  32  41  36 1 1 1
   440  32  41  37 1 1 1
   441  32  41  38 1 1 1
   442  32  41  39 1 1 1
   443  32  41  40 1 1 1
   444  32  41  41 1 1 1
   445  32  41  42 1 1 1
   446  32  41  43 1 1 1
   447  32  41  44 1 1 1
   448  32  41  45 1 1 1
   449  32  41  46 1 1 1
   450  32  41  47 1 1 1
   451  32  41  48 1 1 1
   452  32  41  49 1 1 1
   453  32  42  33 1 1 1
   454  32  42  34 1 1 1
   455  32  42  35 1 1 1
   456  32  42  36 1 1 1
   457  32  42  37 1 1 1
   458  32  42  38 1 1 1
   459  32  42  39 1 1 1
   460  32  42  40 1 1 1
   461  32  42  41 1 1 1
   462  32  42  42 1 1 1
   463  32  42  43 1 1 1
   464  32  42  44 1 1 1
   465  32  42  45 1 1 1
   466  32  42  46 1 1 1
   467  32  42  47 1 1 1
   468  32  42  48 1 1 1
   469  32  42  49 1 1 1
   470  32  43  33 1 1 1
   471  32  43  34 1 1 1
   472  32  43  35 1 1 1
   473  32  43  36 1 1 1
   474  32  43  37 1 1 1
   475  32  43  38 1 1 1
   476  32  43  39 1 1 1
   477  32  43  40 1 1 1
   478  32  43  41 1 1 1
   479  32  43  42 1 1 1
   480  32  43  43 1 1 1
   481  32  43  44 1 1 1
   482  32  43  45 1 1 1
   483  32  43  46 1 1 1
   484  32  43  47 1 1 1
   485  32  43  48 1 1 1
   486  32  43  49 1 1 1
   487  32  44  33 1 1 1
   488  32  44  34 1 1 1
   489  32  44  35 1 1 1
   490  32  44  36 1 1 1
   491  32  44  37 1 1 1
   492  32  44  38 1 1 1
   493  32  44  39 1 1 1
   494  32  44  40 1 1 1
   495  32  44  41 1 1 1
   496  32  44  42 1 1 1
   497  32  44  43 1 1 1
   498  32  44  44 1 1 1
   499  32  44  45 1 1 1
   500  32  44  46 1 1 1
   501  32  44  47 1 1 1
   502  32  44  48 1 1 1
   503  32  44  49 1 1 1
   504  32  45  34 1 1 1
   505  32  45  35 1 1 1
   506  32  45  36 1 1 1
   507  32  45  37 1 1 1
   508  32  45  38 1 1 1
   509  32  45  39 1 1 1
   510  32  45  40 1 1 1
   511  32  45  41 1 1 1
   512  32  45  42 1 1 1
   513  32  45  43 1 1 1
   514  32  45  44 1 1 1
   515  32  45  45 1 1 1
   516  32  45  46 1 1 1
   517  32  45  47 1 1 1
   518  32  45  48 1 1 1
   519  32  46  34 1 1 1
   520  32  46  35 1 1 1
   521  32  46  36 1 1 1
   522  32  46  37 1 1 1
   523  32  46  38 1 1 1
   524  32  46  39 1 1 1
   525  32  46  40 1 1 1
   526  32  46  41 1 1 1
   527  32  46  42 1 1 1
   528  32  46  43 1 1 1
   529  32  46  44 1 1 1
   530  32  46  45 1 1 1
   531  32  46  46 1 1 1
   532  32  46  47 1 1 1
   533  32  46  48 1 1 1
   534  32  47  35 1 1 1
   535  32  47  36 1 1 1
   536  32  47  37 1 1 1
   537  32  47  38 1 1 1
   538  32  47  39 1 1 1
   539  32  47  40 1 1 1
   540  32  47  41 1 1 1
   541  32  47  42 1 1 1
   542  32  47  43 1 1 1
   543  32  47  44 1 1 1
   544  32  47  45 1 1 1
   545  32  47  46 1 1 1
   546  32  47  47 1 1 1
   547  32  48  36 1 1 1
   548  32  48  37 1 1 1
   549  32  48  38 1 1 1
   550  32  48  39 1 1 1
   551  32  48  40 1 1 1
   552  32  48  41 1 1 1
   553  32  48  42 1 1 1
   554  32  48  43 1 1 1
   555  32  48  44 1 1 1
   556  32  48  45 1 1 1
   557  32  48  46 1 1 1
   558  32  49  38 1 1 1
   559  32  49  39 1 1 1
   560  32  49  40 1 1 1
   561  32  49  41 1 1 1
   562  32  49  42 1 1 1
