>TARGSPHER  spherical target with explicit spacing
14067 = NAT
1.000000  0.000000  0.000000 = A_1 vector
0.000000  1.000000  0.000000 = A_2 vector
1.000000  1.000000  1.000000 = (d_x,d_y,d_z)/d
-40.5 -40.5 -40.5 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 1,1,1
    JA   IX   IY   IZ ICOMP(x,y,z)
     1  26  41  41 1 1 1
     2  27  36  40 1 1 1
     3  27  36  41 1 1 1
     4  27  36  42 1 1 1
     5  27  37  38 1 1 1
     6  27  37  39 1 1 1
     7  27  37  40 1 1 1
     8  27  37  41 1 1 1
     9  27  37  42 1 1 1
    10  27  37  43 1 1 1
    11  27  37  44 1 1 1
    12  27  38  37 1 1 1
    13  27  38  38 1 1 1
    14  27  38  39 1 1 1
    15  27  38  40 1 1 1
    16  27  38  41 1 1 1
    17  27  38  42 1 1 1
    18  27  38  43 1 1 1
    19  27  38  44 1 1 1
    20  27  38  45 1 1 1
    21  27  39  37 1 1 1
    22  27  39  38 1 1 1
    23  27  39  39 1 1 1
    24  27  39  40 1 1 1
    25  27  39  41 1 1 1
    26  27  39  42 1 1 1
    27  27  39  43 1 1 1
    28  27  39  44 1 1 1
    29  27  39  45 1 1 1
    30  27  40  36 1 1 1
    31  27  40  37 1 1 1
    32  27  40  38 1 1 1
    33  27  40  39 1 1 1
    34  27  40  40 1 1 1
    35  27  40  41 1 1 1
    36  27  40  42 1 1 1
    37  27  40  43 1 1 1
    38  27  40  44 1 1 1
    39  27  40  45 1 1 1
    40  27  40  46 1 1 1
    41  27  41  36 1 1 1
    42  27  41  37 1 1 1
    43  27  41  38 1 1 1
    44  27  41  39 1 1 1
    45  27  41  40 1 1 1
    46  27  41  41 1 1 1
    47  27  41  42 1 1 1
    48  27  41  43 1 1 1
    49  27  41  44 1 1 1
    50  27  41  45 1 1 1
    51  27  41  46 1 1 1
    52  27  42  36 1 1 1
    53  27  42  37 1 1 1
    54  27  42  38 1 1 1
    55  27  42  39 1 1 1
    56  27  42  40 1 1 1
    57  27  42  41 1 1 1
    58  27  42  42 1 1 1
    59  27  42  43 1 1 1
    60  27  42  44 1 1 1
    61  27  42  45 1 1 1
    62  27  42  46 1 1 1
    63  27  43  37 1 1 1
    64  27  43  38 1 1 1
    65  27  43  39 1 1 1
    66  27  43  40 1 1 1
    67  27  43  41 1 1 1
    68  27  43  42 1 1 1
    69  27  43  43 1 1 1
    70  27  43  44 1 1 1
    71  27  43  45 1 1 1
    72  27  44  37 1 1 1
    73  27  44  38 1 1 1
    74  27  44  39 1 1 1
    75  27  44  40 1 1 1
    76  27  44  41 1 1 1
    77  27  44  42 1 1 1
    78  27  44  43 1 1 1
    79  27  44  44 1 1 1
    80  27  44  45 1 1 1
    81  27  45  38 1 1 1
    82  27  45  39 1 1 1
    83  27  45  40 1 1 1
