 >TARCYLCAP  cylinder with end-caps: Length= 50.0000 Diameter= 14.0000
      9272 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -25.50000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   1  -2  -6 1 1 1
      2   2  -2  -6 1 1 1
      3   3  -2  -6 1 1 1
      4   4  -2  -6 1 1 1
      5   5  -2  -6 1 1 1
      6   6  -2  -6 1 1 1
      7   7  -2  -6 1 1 1
      8   8  -2  -6 1 1 1
      9   9  -2  -6 1 1 1
     10  10  -2  -6 1 1 1
     11  11  -2  -6 1 1 1
     12  12  -2  -6 1 1 1
     13  13  -2  -6 1 1 1
     14  14  -2  -6 1 1 1
     15  15  -2  -6 1 1 1
     16  16  -2  -6 1 1 1
     17  17  -2  -6 1 1 1
     18  18  -2  -6 1 1 1
     19  19  -2  -6 1 1 1
     20  20  -2  -6 1 1 1
     21  21  -2  -6 1 1 1
     22  22  -2  -6 1 1 1
     23  23  -2  -6 1 1 1
     24  24  -2  -6 1 1 1
     25  25  -2  -6 1 1 1
     26  26  -2  -6 1 1 1
     27  27  -2  -6 1 1 1
     28  28  -2  -6 1 1 1
     29  29  -2  -6 1 1 1
     30  30  -2  -6 1 1 1
     31  31  -2  -6 1 1 1
     32  32  -2  -6 1 1 1
     33  33  -2  -6 1 1 1
     34  34  -2  -6 1 1 1
     35  35  -2  -6 1 1 1
     36  36  -2  -6 1 1 1
     37  37  -2  -6 1 1 1
     38  38  -2  -6 1 1 1
     39  39  -2  -6 1 1 1
     40  40  -2  -6 1 1 1
     41  41  -2  -6 1 1 1
     42  42  -2  -6 1 1 1
     43  43  -2  -6 1 1 1
     44  44  -2  -6 1 1 1
     45  45  -2  -6 1 1 1
     46  46  -2  -6 1 1 1
     47  47  -2  -6 1 1 1
     48  48  -2  -6 1 1 1
     49  49  -2  -6 1 1 1
     50  50  -2  -6 1 1 1
     51   1  -1  -6 1 1 1
