 >TARCYLCAP  cylinder with end-caps: Length= 97.3000 Diameter= 17.6000
     27008 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -49.00000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   1  -1  -8 1 1 1
      2   2  -1  -8 1 1 1
      3   3  -1  -8 1 1 1
      4   4  -1  -8 1 1 1
      5   5  -1  -8 1 1 1
      6   6  -1  -8 1 1 1
      7   7  -1  -8 1 1 1
      8   8  -1  -8 1 1 1
      9   9  -1  -8 1 1 1
     10  10  -1  -8 1 1 1
     11  11  -1  -8 1 1 1
     12  12  -1  -8 1 1 1
     13  13  -1  -8 1 1 1
     14  14  -1  -8 1 1 1
     15  15  -1  -8 1 1 1
     16  16  -1  -8 1 1 1
     17  17  -1  -8 1 1 1
     18  18  -1  -8 1 1 1
     19  19  -1  -8 1 1 1
     20  20  -1  -8 1 1 1
     21  21  -1  -8 1 1 1
     22  22  -1  -8 1 1 1
     23  23  -1  -8 1 1 1
     24  24  -1  -8 1 1 1
     25  25  -1  -8 1 1 1
     26  26  -1  -8 1 1 1
     27  27  -1  -8 1 1 1
     28  28  -1  -8 1 1 1
     29  29  -1  -8 1 1 1
     30  30  -1  -8 1 1 1
     31  31  -1  -8 1 1 1
     32  32  -1  -8 1 1 1
     33  33  -1  -8 1 1 1
     34  34  -1  -8 1 1 1
     35  35  -1  -8 1 1 1
     36  36  -1  -8 1 1 1
     37  37  -1  -8 1 1 1
     38  38  -1  -8 1 1 1
     39  39  -1  -8 1 1 1
     40  40  -1  -8 1 1 1
     41  41  -1  -8 1 1 1
     42  42  -1  -8 1 1 1
     43  43  -1  -8 1 1 1
     44  44  -1  -8 1 1 1
     45  45  -1  -8 1 1 1
     46  46  -1  -8 1 1 1
     47  47  -1  -8 1 1 1
     48  48  -1  -8 1 1 1
     49  49  -1  -8 1 1 1
     50  50  -1  -8 1 1 1
     51  51  -1  -8 1 1 1
     52  52  -1  -8 1 1 1
     53  53  -1  -8 1 1 1
     54  54  -1  -8 1 1 1
     55  55  -1  -8 1 1 1
     56  56  -1  -8 1 1 1
     57  57  -1  -8 1 1 1
     58  58  -1  -8 1 1 1
     59  59  -1  -8 1 1 1
     60  60  -1  -8 1 1 1
     61  61  -1  -8 1 1 1
     62  62  -1  -8 1 1 1
     63  63  -1  -8 1 1 1
     64  64  -1  -8 1 1 1
     65  65  -1  -8 1 1 1
     66  66  -1  -8 1 1 1
     67  67  -1  -8 1 1 1
     68  68  -1  -8 1 1 1
     69  69  -1  -8 1 1 1
     70  70  -1  -8 1 1 1
     71  71  -1  -8 1 1 1
     72  72  -1  -8 1 1 1
     73  73  -1  -8 1 1 1
     74  74  -1  -8 1 1 1
     75  75  -1  -8 1 1 1
     76  76  -1  -8 1 1 1
     77  77  -1  -8 1 1 1
     78  78  -1  -8 1 1 1
     79  79  -1  -8 1 1 1
     80  80  -1  -8 1 1 1
     81  81  -1  -8 1 1 1
     82  82  -1  -8 1 1 1
     83  83  -1  -8 1 1 1
     84  84  -1  -8 1 1 1
     85  85  -1  -8 1 1 1
     86  86  -1  -8 1 1 1
     87  87  -1  -8 1 1 1
     88  88  -1  -8 1 1 1
     89  89  -1  -8 1 1 1
     90  90  -1  -8 1 1 1
     91  91  -1  -8 1 1 1
     92  92  -1  -8 1 1 1
     93  93  -1  -8 1 1 1
     94  94  -1  -8 1 1 1
     95  95  -1  -8 1 1 1
     96  96  -1  -8 1 1 1
     97  97  -1  -8 1 1 1
     98   1   0  -8 1 1 1
     99   2   0  -8 1 1 1
    100   3   0  -8 1 1 1
    101   4   0  -8 1 1 1
    102   5   0  -8 1 1 1
    103   6   0  -8 1 1 1
    104   7   0  -8 1 1 1
    105   8   0  -8 1 1 1
    106   9   0  -8 1 1 1
    107  10   0  -8 1 1 1
    108  11   0  -8 1 1 1
    109  12   0  -8 1 1 1
    110  13   0  -8 1 1 1
    111  14   0  -8 1 1 1
    112  15   0  -8 1 1 1
    113  16   0  -8 1 1 1
    114  17   0  -8 1 1 1
    115  18   0  -8 1 1 1
    116  19   0  -8 1 1 1
    117  20   0  -8 1 1 1
    118  21   0  -8 1 1 1
    119  22   0  -8 1 1 1
    120  23   0  -8 1 1 1
    121  24   0  -8 1 1 1
    122  25   0  -8 1 1 1
    123  26   0  -8 1 1 1
    124  27   0  -8 1 1 1
    125  28   0  -8 1 1 1
    126  29   0  -8 1 1 1
    127  30   0  -8 1 1 1
    128  31   0  -8 1 1 1
    129  32   0  -8 1 1 1
    130  33   0  -8 1 1 1
    131  34   0  -8 1 1 1
    132  35   0  -8 1 1 1
    133  36   0  -8 1 1 1
    134  37   0  -8 1 1 1
    135  38   0  -8 1 1 1
    136  39   0  -8 1 1 1
    137  40   0  -8 1 1 1
    138  41   0  -8 1 1 1
    139  42   0  -8 1 1 1
    140  43   0  -8 1 1 1
    141  44   0  -8 1 1 1
    142  45   0  -8 1 1 1
    143  46   0  -8 1 1 1
    144  47   0  -8 1 1 1
    145  48   0  -8 1 1 1
    146  49   0  -8 1 1 1
    147  50   0  -8 1 1 1
    148  51   0  -8 1 1 1
    149  52   0  -8 1 1 1
    150  53   0  -8 1 1 1
    151  54   0  -8 1 1 1
    152  55   0  -8 1 1 1
    153  56   0  -8 1 1 1
    154  57   0  -8 1 1 1
    155  58   0  -8 1 1 1
    156  59   0  -8 1 1 1
    157  60   0  -8 1 1 1
    158  61   0  -8 1 1 1
    159  62   0  -8 1 1 1
    160  63   0  -8 1 1 1
    161  64   0  -8 1 1 1
    162  65   0  -8 1 1 1
    163  66   0  -8 1 1 1
    164  67   0  -8 1 1 1
    165  68   0  -8 1 1 1
    166  69   0  -8 1 1 1
    167  70   0  -8 1 1 1
    168  71   0  -8 1 1 1
    169  72   0  -8 1 1 1
    170  73   0  -8 1 1 1
    171  74   0  -8 1 1 1
    172  75   0  -8 1 1 1
    173  76   0  -8 1 1 1
    174  77   0  -8 1 1 1
    175  78   0  -8 1 1 1
    176  79   0  -8 1 1 1
    177  80   0  -8 1 1 1
    178  81   0  -8 1 1 1
    179  82   0  -8 1 1 1
    180  83   0  -8 1 1 1
    181  84   0  -8 1 1 1
    182  85   0  -8 1 1 1
    183  86   0  -8 1 1 1
    184  87   0  -8 1 1 1
    185  88   0  -8 1 1 1
    186  89   0  -8 1 1 1
    187  90   0  -8 1 1 1
    188  91   0  -8 1 1 1
    189  92   0  -8 1 1 1
    190  93   0  -8 1 1 1
    191  94   0  -8 1 1 1
    192  95   0  -8 1 1 1
    193  96   0  -8 1 1 1
    194  97   0  -8 1 1 1
    195   1   1  -8 1 1 1
    196   2   1  -8 1 1 1
    197   3   1  -8 1 1 1
    198   4   1  -8 1 1 1
    199   5   1  -8 1 1 1
    200   6   1  -8 1 1 1
    201   7   1  -8 1 1 1
    202   8   1  -8 1 1 1
    203   9   1  -8 1 1 1
    204  10   1  -8 1 1 1
    205  11   1  -8 1 1 1
    206  12   1  -8 1 1 1
    207  13   1  -8 1 1 1
    208  14   1  -8 1 1 1
    209  15   1  -8 1 1 1
    210  16   1  -8 1 1 1
    211  17   1  -8 1 1 1
    212  18   1  -8 1 1 1
    213  19   1  -8 1 1 1
    214  20   1  -8 1 1 1
    215  21   1  -8 1 1 1
    216  22   1  -8 1 1 1
    217  23   1  -8 1 1 1
    218  24   1  -8 1 1 1
    219  25   1  -8 1 1 1
    220  26   1  -8 1 1 1
    221  27   1  -8 1 1 1
    222  28   1  -8 1 1 1
    223  29   1  -8 1 1 1
    224  30   1  -8 1 1 1
    225  31   1  -8 1 1 1
    226  32   1  -8 1 1 1
    227  33   1  -8 1 1 1
    228  34   1  -8 1 1 1
    229  35   1  -8 1 1 1
    230  36   1  -8 1 1 1
    231  37   1  -8 1 1 1
    232  38   1  -8 1 1 1
    233  39   1  -8 1 1 1
    234  40   1  -8 1 1 1
    235  41   1  -8 1 1 1
    236  42   1  -8 1 1 1
    237  43   1  -8 1 1 1
    238  44   1  -8 1 1 1
    239  45   1  -8 1 1 1
    240  46   1  -8 1 1 1
    241  47   1  -8 1 1 1
    242  48   1  -8 1 1 1
    243  49   1  -8 1 1 1
    244  50   1  -8 1 1 1
    245  51   1  -8 1 1 1
    246  52   1  -8 1 1 1
    247  53   1  -8 1 1 1
    248  54   1  -8 1 1 1
    249  55   1  -8 1 1 1
    250  56   1  -8 1 1 1
    251  57   1  -8 1 1 1
    252  58   1  -8 1 1 1
    253  59   1  -8 1 1 1
    254  60   1  -8 1 1 1
    255  61   1  -8 1 1 1
    256  62   1  -8 1 1 1
    257  63   1  -8 1 1 1
    258  64   1  -8 1 1 1
    259  65   1  -8 1 1 1
    260  66   1  -8 1 1 1
    261  67   1  -8 1 1 1
    262  68   1  -8 1 1 1
    263  69   1  -8 1 1 1
    264  70   1  -8 1 1 1
    265  71   1  -8 1 1 1
    266  72   1  -8 1 1 1
    267  73   1  -8 1 1 1
    268  74   1  -8 1 1 1
    269  75   1  -8 1 1 1
    270  76   1  -8 1 1 1
    271  77   1  -8 1 1 1
    272  78   1  -8 1 1 1
    273  79   1  -8 1 1 1
    274  80   1  -8 1 1 1
    275  81   1  -8 1 1 1
    276  82   1  -8 1 1 1
    277  83   1  -8 1 1 1
    278  84   1  -8 1 1 1
    279  85   1  -8 1 1 1
    280  86   1  -8 1 1 1
    281  87   1  -8 1 1 1
    282  88   1  -8 1 1 1
    283  89   1  -8 1 1 1
    284  90   1  -8 1 1 1
