>TARGSPHER  spherical target with explicit spacing
33401 = NAT
1.000000  0.000000  0.000000 = A_1 vector
0.000000  1.000000  0.000000 = A_2 vector
1.000000  1.000000  1.000000 = (d_x,d_y,d_z)/d
-40.5 -40.5 -40.5 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 1,1,1
    JA   IX   IY   IZ ICOMP(x,y,z)
     1  21  41  41 2 2 2
     2  22  35  40 2 2 2
     3  22  35  41 2 2 2
     4  22  35  42 2 2 2
     5  22  36  38 2 2 2
     6  22  36  39 2 2 2
     7  22  36  40 2 2 2
     8  22  36  41 2 2 2
     9  22  36  42 2 2 2
    10  22  36  43 2 2 2
    11  22  36  44 2 2 2
    12  22  37  37 2 2 2
    13  22  37  38 2 2 2
    14  22  37  39 2 2 2
    15  22  37  40 2 2 2
    16  22  37  41 2 2 2
    17  22  37  42 2 2 2
    18  22  37  43 2 2 2
    19  22  37  44 2 2 2
    20  22  37  45 2 2 2
    21  22  38  36 2 2 2
    22  22  38  37 2 2 2
    23  22  38  38 2 2 2
    24  22  38  39 2 2 2
    25  22  38  40 2 2 2
    26  22  38  41 2 2 2
    27  22  38  42 2 2 2
    28  22  38  43 2 2 2
    29  22  38  44 2 2 2
    30  22  38  45 2 2 2
    31  22  38  46 2 2 2
    32  22  39  36 2 2 2
    33  22  39  37 2 2 2
    34  22  39  38 2 2 2
    35  22  39  39 2 2 2
    36  22  39  40 2 2 2
    37  22  39  41 2 2 2
    38  22  39  42 2 2 2
    39  22  39  43 2 2 2
    40  22  39  44 2 2 2
    41  22  39  45 2 2 2
    42  22  39  46 2 2 2
    43  22  40  35 2 2 2
    44  22  40  36 2 2 2
    45  22  40  37 2 2 2
    46  22  40  38 2 2 2
    47  22  40  39 2 2 2
    48  22  40  40 2 2 2
    49  22  40  41 2 2 2
    50  22  40  42 2 2 2
    51  22  40  43 2 2 2
    52  22  40  44 2 2 2
    53  22  40  45 2 2 2
    54  22  40  46 2 2 2
    55  22  40  47 2 2 2
    56  22  41  35 2 2 2
    57  22  41  36 2 2 2
    58  22  41  37 2 2 2
    59  22  41  38 2 2 2
    60  22  41  39 2 2 2
    61  22  41  40 2 2 2
    62  22  41  41 2 2 2
    63  22  41  42 2 2 2
    64  22  41  43 2 2 2
    65  22  41  44 2 2 2
    66  22  41  45 2 2 2
    67  22  41  46 2 2 2
    68  22  41  47 2 2 2
    69  22  42  35 2 2 2
    70  22  42  36 2 2 2
    71  22  42  37 2 2 2
    72  22  42  38 2 2 2
    73  22  42  39 2 2 2
    74  22  42  40 2 2 2
    75  22  42  41 2 2 2
    76  22  42  42 2 2 2
    77  22  42  43 2 2 2
    78  22  42  44 2 2 2
    79  22  42  45 2 2 2
    80  22  42  46 2 2 2
    81  22  42  47 2 2 2
    82  22  43  36 2 2 2
    83  22  43  37 2 2 2
    84  22  43  38 2 2 2
    85  22  43  39 2 2 2
    86  22  43  40 2 2 2
    87  22  43  41 2 2 2
    88  22  43  42 2 2 2
    89  22  43  43 2 2 2
    90  22  43  44 2 2 2
    91  22  43  45 2 2 2
    92  22  43  46 2 2 2
    93  22  44  36 2 2 2
    94  22  44  37 2 2 2
    95  22  44  38 2 2 2
    96  22  44  39 2 2 2
    97  22  44  40 2 2 2
    98  22  44  41 2 2 2
    99  22  44  42 2 2 2
   100  22  44  43 2 2 2
   101  22  44  44 2 2 2
   102  22  44  45 2 2 2
   103  22  44  46 2 2 2
   104  22  45  37 2 2 2
   105  22  45  38 2 2 2
   106  22  45  39 2 2 2
   107  22  45  40 2 2 2
   108  22  45  41 2 2 2
   109  22  45  42 2 2 2
   110  22  45  43 2 2 2
   111  22  45  44 2 2 2
   112  22  45  45 2 2 2
   113  22  46  38 2 2 2
   114  22  46  39 2 2 2
   115  22  46  40 2 2 2
   116  22  46  41 2 2 2
   117  22  46  42 2 2 2
   118  22  46  43 2 2 2
   119  22  46  44 2 2 2
   120  22  47  40 2 2 2
   121  22  47  41 2 2 2
   122  22  47  42 2 2 2
   123  23  33  38 2 2 2
   124  23  33  39 2 2 2
   125  23  33  40 2 2 2
   126  23  33  41 2 2 2
   127  23  33  42 2 2 2
   128  23  33  43 2 2 2
   129  23  33  44 2 2 2
   130  23  34  36 2 2 2
   131  23  34  37 2 2 2
   132  23  34  38 2 2 2
   133  23  34  39 2 2 2
   134  23  34  40 2 2 2
   135  23  34  41 2 2 2
   136  23  34  42 2 2 2
   137  23  34  43 2 2 2
   138  23  34  44 2 2 2
   139  23  34  45 2 2 2
   140  23  34  46 2 2 2
   141  23  35  35 2 2 2
   142  23  35  36 2 2 2
   143  23  35  37 2 2 2
   144  23  35  38 2 2 2
   145  23  35  39 2 2 2
   146  23  35  40 2 2 2
   147  23  35  41 2 2 2
   148  23  35  42 2 2 2
   149  23  35  43 2 2 2
   150  23  35  44 2 2 2
   151  23  35  45 2 2 2
   152  23  35  46 2 2 2
   153  23  35  47 2 2 2
   154  23  36  34 2 2 2
   155  23  36  35 2 2 2
   156  23  36  36 2 2 2
   157  23  36  37 2 2 2
   158  23  36  38 2 2 2
   159  23  36  39 2 2 2
   160  23  36  40 2 2 2
   161  23  36  41 2 2 2
   162  23  36  42 2 2 2
   163  23  36  43 2 2 2
   164  23  36  44 2 2 2
   165  23  36  45 2 2 2
   166  23  36  46 2 2 2
   167  23  36  47 2 2 2
   168  23  36  48 2 2 2
   169  23  37  34 2 2 2
   170  23  37  35 2 2 2
   171  23  37  36 2 2 2
   172  23  37  37 2 2 2
   173  23  37  38 2 2 2
   174  23  37  39 2 2 2
   175  23  37  40 2 2 2
   176  23  37  41 2 2 2
   177  23  37  42 2 2 2
   178  23  37  43 2 2 2
   179  23  37  44 2 2 2
   180  23  37  45 2 2 2
   181  23  37  46 2 2 2
   182  23  37  47 2 2 2
   183  23  37  48 2 2 2
   184  23  38  33 2 2 2
   185  23  38  34 2 2 2
   186  23  38  35 2 2 2
   187  23  38  36 2 2 2
   188  23  38  37 2 2 2
   189  23  38  38 2 2 2
   190  23  38  39 2 2 2
   191  23  38  40 2 2 2
   192  23  38  41 2 2 2
   193  23  38  42 2 2 2
   194  23  38  43 2 2 2
   195  23  38  44 2 2 2
   196  23  38  45 2 2 2
   197  23  38  46 2 2 2
   198  23  38  47 2 2 2
   199  23  38  48 2 2 2
   200  23  38  49 2 2 2
   201  23  39  33 2 2 2
   202  23  39  34 2 2 2
   203  23  39  35 2 2 2
   204  23  39  36 2 2 2
   205  23  39  37 2 2 2
   206  23  39  38 2 2 2
   207  23  39  39 2 2 2
   208  23  39  40 2 2 2
   209  23  39  41 2 2 2
   210  23  39  42 2 2 2
   211  23  39  43 2 2 2
   212  23  39  44 2 2 2
   213  23  39  45 2 2 2
   214  23  39  46 2 2 2
   215  23  39  47 2 2 2
   216  23  39  48 2 2 2
   217  23  39  49 2 2 2
   218  23  40  33 2 2 2
   219  23  40  34 2 2 2
   220  23  40  35 2 2 2
   221  23  40  36 2 2 2
   222  23  40  37 2 2 2
   223  23  40  38 2 2 2
   224  23  40  39 2 2 2
   225  23  40  40 2 2 2
   226  23  40  41 2 2 2
   227  23  40  42 2 2 2
   228  23  40  43 2 2 2
   229  23  40  44 2 2 2
   230  23  40  45 2 2 2
   231  23  40  46 2 2 2
   232  23  40  47 2 2 2
   233  23  40  48 2 2 2
   234  23  40  49 2 2 2
   235  23  41  33 2 2 2
   236  23  41  34 2 2 2
   237  23  41  35 2 2 2
   238  23  41  36 2 2 2
   239  23  41  37 2 2 2
   240  23  41  38 2 2 2
   241  23  41  39 2 2 2
   242  23  41  40 2 2 2
   243  23  41  41 2 2 2
   244  23  41  42 2 2 2
   245  23  41  43 2 2 2
   246  23  41  44 2 2 2
   247  23  41  45 2 2 2
   248  23  41  46 2 2 2
   249  23  41  47 2 2 2
   250  23  41  48 2 2 2
   251  23  41  49 2 2 2
   252  23  42  33 2 2 2
   253  23  42  34 2 2 2
   254  23  42  35 2 2 2
   255  23  42  36 2 2 2
   256  23  42  37 2 2 2
   257  23  42  38 2 2 2
   258  23  42  39 2 2 2
   259  23  42  40 2 2 2
   260  23  42  41 2 2 2
   261  23  42  42 2 2 2
   262  23  42  43 2 2 2
   263  23  42  44 2 2 2
   264  23  42  45 2 2 2
   265  23  42  46 2 2 2
   266  23  42  47 2 2 2
   267  23  42  48 2 2 2
   268  23  42  49 2 2 2
   269  23  43  33 2 2 2
   270  23  43  34 2 2 2
   271  23  43  35 2 2 2
   272  23  43  36 2 2 2
   273  23  43  37 2 2 2
   274  23  43  38 2 2 2
   275  23  43  39 2 2 2
   276  23  43  40 2 2 2
   277  23  43  41 2 2 2
   278  23  43  42 2 2 2
   279  23  43  43 2 2 2
   280  23  43  44 2 2 2
   281  23  43  45 2 2 2
   282  23  43  46 2 2 2
   283  23  43  47 2 2 2
   284  23  43  48 2 2 2
   285  23  43  49 2 2 2
   286  23  44  33 2 2 2
   287  23  44  34 2 2 2
   288  23  44  35 2 2 2
   289  23  44  36 2 2 2
   290  23  44  37 2 2 2
   291  23  44  38 2 2 2
   292  23  44  39 2 2 2
   293  23  44  40 2 2 2
   294  23  44  41 2 2 2
   295  23  44  42 2 2 2
   296  23  44  43 2 2 2
   297  23  44  44 2 2 2
   298  23  44  45 2 2 2
   299  23  44  46 2 2 2
   300  23  44  47 2 2 2
   301  23  44  48 2 2 2
   302  23  44  49 2 2 2
   303  23  45  34 2 2 2
   304  23  45  35 2 2 2
   305  23  45  36 2 2 2
   306  23  45  37 2 2 2
   307  23  45  38 2 2 2
   308  23  45  39 2 2 2
   309  23  45  40 2 2 2
   310  23  45  41 2 2 2
   311  23  45  42 2 2 2
   312  23  45  43 2 2 2
   313  23  45  44 2 2 2
   314  23  45  45 2 2 2
   315  23  45  46 2 2 2
   316  23  45  47 2 2 2
   317  23  45  48 2 2 2
   318  23  46  34 2 2 2
   319  23  46  35 2 2 2
   320  23  46  36 2 2 2
   321  23  46  37 2 2 2
   322  23  46  38 2 2 2
   323  23  46  39 2 2 2
   324  23  46  40 2 2 2
   325  23  46  41 2 2 2
   326  23  46  42 2 2 2
   327  23  46  43 2 2 2
   328  23  46  44 2 2 2
   329  23  46  45 2 2 2
   330  23  46  46 2 2 2
   331  23  46  47 2 2 2
   332  23  46  48 2 2 2
   333  23  47  35 2 2 2
   334  23  47  36 2 2 2
   335  23  47  37 2 2 2
   336  23  47  38 2 2 2
   337  23  47  39 2 2 2
   338  23  47  40 2 2 2
   339  23  47  41 2 2 2
   340  23  47  42 2 2 2
   341  23  47  43 2 2 2
   342  23  47  44 2 2 2
   343  23  47  45 2 2 2
   344  23  47  46 2 2 2
   345  23  47  47 2 2 2
   346  23  48  36 2 2 2
   347  23  48  37 2 2 2
   348  23  48  38 2 2 2
   349  23  48  39 2 2 2
   350  23  48  40 2 2 2
   351  23  48  41 2 2 2
   352  23  48  42 2 2 2
   353  23  48  43 2 2 2
   354  23  48  44 2 2 2
   355  23  48  45 2 2 2
   356  23  48  46 2 2 2
   357  23  49  38 2 2 2
   358  23  49  39 2 2 2
   359  23  49  40 2 2 2
   360  23  49  41 2 2 2
   361  23  49  42 2 2 2
   362  23  49  43 2 2 2
   363  23  49  44 2 2 2
   364  24  31  38 2 2 2
   365  24  31  39 2 2 2
   366  24  31  40 2 2 2
   367  24  31  41 2 2 2
   368  24  31  42 2 2 2
   369  24  31  43 2 2 2
   370  24  31  44 2 2 2
   371  24  32  36 2 2 2
   372  24  32  37 2 2 2
   373  24  32  38 2 2 2
   374  24  32  39 2 2 2
   375  24  32  40 2 2 2
   376  24  32  41 2 2 2
   377  24  32  42 2 2 2
   378  24  32  43 2 2 2
   379  24  32  44 2 2 2
   380  24  32  45 2 2 2
   381  24  32  46 2 2 2
   382  24  33  35 2 2 2
   383  24  33  36 2 2 2
   384  24  33  37 2 2 2
   385  24  33  38 2 2 2
   386  24  33  39 2 2 2
   387  24  33  40 2 2 2
   388  24  33  41 2 2 2
   389  24  33  42 2 2 2
   390  24  33  43 2 2 2
   391  24  33  44 2 2 2
   392  24  33  45 2 2 2
   393  24  33  46 2 2 2
   394  24  33  47 2 2 2
   395  24  34  34 2 2 2
   396  24  34  35 2 2 2
   397  24  34  36 2 2 2
   398  24  34  37 2 2 2
   399  24  34  38 2 2 2
   400  24  34  39 2 2 2
   401  24  34  40 2 2 2
   402  24  34  41 2 2 2
   403  24  34  42 2 2 2
   404  24  34  43 2 2 2
   405  24  34  44 2 2 2
   406  24  34  45 2 2 2
   407  24  34  46 2 2 2
   408  24  34  47 2 2 2
   409  24  34  48 2 2 2
   410  24  35  33 2 2 2
   411  24  35  34 2 2 2
   412  24  35  35 2 2 2
   413  24  35  36 2 2 2
   414  24  35  37 2 2 2
   415  24  35  38 2 2 2
   416  24  35  39 2 2 2
   417  24  35  40 2 2 2
   418  24  35  41 2 2 2
   419  24  35  42 2 2 2
   420  24  35  43 2 2 2
   421  24  35  44 2 2 2
   422  24  35  45 2 2 2
   423  24  35  46 2 2 2
   424  24  35  47 2 2 2
   425  24  35  48 2 2 2
   426  24  35  49 2 2 2
   427  24  36  32 2 2 2
   428  24  36  33 2 2 2
   429  24  36  34 2 2 2
   430  24  36  35 2 2 2
   431  24  36  36 2 2 2
   432  24  36  37 2 2 2
   433  24  36  38 2 2 2
   434  24  36  39 2 2 2
   435  24  36  40 2 2 2
   436  24  36  41 2 2 2
   437  24  36  42 2 2 2
   438  24  36  43 2 2 2
   439  24  36  44 2 2 2
   440  24  36  45 2 2 2
