>TARGSPHER  spherical target with explicit spacing
4169 = NAT
1.000000  0.000000  0.000000 = A_1 vector
0.000000  1.000000  0.000000 = A_2 vector
1.000000  1.000000  1.000000 = (d_x,d_y,d_z)/d
-20.5 -20.5 -20.5 = lattice offset
    JA   IX   IY   IZ ICOMP(x,y,z)
     1  11  21  21 4 4 4
     2  12  17  20 4 4 4
     3  12  17  21 4 4 4
     4  12  17  22 4 4 4
     5  12  18  18 4 4 4
     6  12  18  19 3 3 3
     7  12  18  20 3 3 3
     8  12  18  21 3 3 3
     9  12  18  22 3 3 3
    10  12  18  23 3 3 3
    11  12  18  24 4 4 4
    12  12  19  18 3 3 3
    13  12  19  19 3 3 3
    14  12  19  20 3 3 3
    15  12  19  21 2 2 2
    16  12  19  22 3 3 3
    17  12  19  23 3 3 3
    18  12  19  24 3 3 3
    19  12  20  17 4 4 4
    20  12  20  18 3 3 3
    21  12  20  19 3 3 3
    22  12  20  20 2 2 2
    23  12  20  21 2 2 2
    24  12  20  22 2 2 2
    25  12  20  23 3 3 3
    26  12  20  24 3 3 3
    27  12  20  25 4 4 4
    28  12  21  17 4 4 4
    29  12  21  18 3 3 3
    30  12  21  19 2 2 2
    31  12  21  20 2 2 2
    32  12  21  21 2 2 2
    33  12  21  22 2 2 2
    34  12  21  23 2 2 2
    35  12  21  24 3 3 3
    36  12  21  25 4 4 4
    37  12  22  17 4 4 4
    38  12  22  18 3 3 3
    39  12  22  19 3 3 3
    40  12  22  20 2 2 2
    41  12  22  21 2 2 2
    42  12  22  22 2 2 2
    43  12  22  23 3 3 3
    44  12  22  24 3 3 3
    45  12  22  25 4 4 4
    46  12  23  18 3 3 3
    47  12  23  19 3 3 3
    48  12  23  20 3 3 3
    49  12  23  21 2 2 2
    50  12  23  22 3 3 3
    51  12  23  23 3 3 3
    52  12  23  24 3 3 3
    53  12  24  18 4 4 4
    54  12  24  19 3 3 3
    55  12  24  20 3 3 3
    56  12  24  21 3 3 3
    57  12  24  22 3 3 3
    58  12  24  23 3 3 3
    59  12  24  24 4 4 4
    60  12  25  20 4 4 4
    61  12  25  21 4 4 4
    62  12  25  22 4 4 4
    63  13  15  21 4 4 4
    64  13  16  18 4 4 4
    65  13  16  19 3 3 3
    66  13  16  20 3 3 3
    67  13  16  21 3 3 3
    68  13  16  22 3 3 3
    69  13  16  23 3 3 3
    70  13  16  24 4 4 4
    71  13  17  17 4 4 4
    72  13  17  18 3 3 3
    73  13  17  19 2 2 2
    74  13  17  20 2 2 2
    75  13  17  21 2 2 2
    76  13  17  22 2 2 2
    77  13  17  23 2 2 2
    78  13  17  24 3 3 3
    79  13  17  25 4 4 4
    80  13  18  16 4 4 4
    81  13  18  17 3 3 3
    82  13  18  18 2 2 2
    83  13  18  19 2 2 2
    84  13  18  20 1 1 1
    85  13  18  21 1 1 1
    86  13  18  22 1 1 1
    87  13  18  23 2 2 2
    88  13  18  24 2 2 2
    89  13  18  25 3 3 3
    90  13  18  26 4 4 4
    91  13  19  16 3 3 3
    92  13  19  17 2 2 2
    93  13  19  18 2 2 2
    94  13  19  19 1 1 1
    95  13  19  20 1 1 1
    96  13  19  21 1 1 1
    97  13  19  22 1 1 1
    98  13  19  23 1 1 1
    99  13  19  24 2 2 2
   100  13  19  25 2 2 2
   101  13  19  26 3 3 3
   102  13  20  16 3 3 3
   103  13  20  17 2 2 2
   104  13  20  18 1 1 1
   105  13  20  19 1 1 1
   106  13  20  20 1 1 1
   107  13  20  21 1 1 1
   108  13  20  22 1 1 1
   109  13  20  23 1 1 1
   110  13  20  24 1 1 1
   111  13  20  25 2 2 2
   112  13  20  26 3 3 3
   113  13  21  15 4 4 4
   114  13  21  16 3 3 3
   115  13  21  17 2 2 2
   116  13  21  18 1 1 1
   117  13  21  19 1 1 1
   118  13  21  20 1 1 1
   119  13  21  21 1 1 1
   120  13  21  22 1 1 1
   121  13  21  23 1 1 1
   122  13  21  24 1 1 1
   123  13  21  25 2 2 2
   124  13  21  26 3 3 3
   125  13  21  27 4 4 4
   126  13  22  16 3 3 3
   127  13  22  17 2 2 2
   128  13  22  18 1 1 1
   129  13  22  19 1 1 1
   130  13  22  20 1 1 1
   131  13  22  21 1 1 1
   132  13  22  22 1 1 1
   133  13  22  23 1 1 1
   134  13  22  24 1 1 1
   135  13  22  25 2 2 2
   136  13  22  26 3 3 3
   137  13  23  16 3 3 3
   138  13  23  17 2 2 2
   139  13  23  18 2 2 2
   140  13  23  19 1 1 1
   141  13  23  20 1 1 1
   142  13  23  21 1 1 1
   143  13  23  22 1 1 1
   144  13  23  23 1 1 1
   145  13  23  24 2 2 2
   146  13  23  25 2 2 2
   147  13  23  26 3 3 3
   148  13  24  16 4 4 4
   149  13  24  17 3 3 3
   150  13  24  18 2 2 2
   151  13  24  19 2 2 2
   152  13  24  20 1 1 1
   153  13  24  21 1 1 1
   154  13  24  22 1 1 1
   155  13  24  23 2 2 2
   156  13  24  24 2 2 2
   157  13  24  25 3 3 3
   158  13  24  26 4 4 4
   159  13  25  17 4 4 4
