 >REASHP: option FROM_FILE
      4169 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -20.50000 -20.50000 -20.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   11   21   21 5 5 5
      2   12   17   20 5 5 5
      3   12   17   21 5 5 5
      4   12   17   22 5 5 5
      5   12   18   18 5 5 5
      6   12   18   19 4 4 4
      7   12   18   20 4 4 4
      8   12   18   21 4 4 4
      9   12   18   22 4 4 4
     10   12   18   23 4 4 4
     11   12   18   24 5 5 5
     12   12   19   18 4 4 4
     13   12   19   19 4 4 4
     14   12   19   20 4 4 4
     15   12   19   21 3 3 3
     16   12   19   22 4 4 4
     17   12   19   23 4 4 4
     18   12   19   24 4 4 4
     19   12   20   17 5 5 5
     20   12   20   18 4 4 4
     21   12   20   19 4 4 4
     22   12   20   20 3 3 3
     23   12   20   21 3 3 3
     24   12   20   22 3 3 3
     25   12   20   23 4 4 4
     26   12   20   24 4 4 4
     27   12   20   25 5 5 5
     28   12   21   17 5 5 5
     29   12   21   18 4 4 4
     30   12   21   19 3 3 3
     31   12   21   20 3 3 3
     32   12   21   21 3 3 3
     33   12   21   22 3 3 3
     34   12   21   23 3 3 3
     35   12   21   24 4 4 4
     36   12   21   25 5 5 5
     37   12   22   17 5 5 5
     38   12   22   18 4 4 4
     39   12   22   19 4 4 4
     40   12   22   20 3 3 3
     41   12   22   21 3 3 3
     42   12   22   22 3 3 3
     43   12   22   23 4 4 4
     44   12   22   24 4 4 4
     45   12   22   25 5 5 5
     46   12   23   18 4 4 4
     47   12   23   19 4 4 4
     48   12   23   20 4 4 4
     49   12   23   21 3 3 3
     50   12   23   22 4 4 4
     51   12   23   23 4 4 4
     52   12   23   24 4 4 4
     53   12   24   18 5 5 5
     54   12   24   19 4 4 4
     55   12   24   20 4 4 4
     56   12   24   21 4 4 4
     57   12   24   22 4 4 4
     58   12   24   23 4 4 4
     59   12   24   24 5 5 5
     60   12   25   20 5 5 5
     61   12   25   21 5 5 5
     62   12   25   22 5 5 5
     63   13   15   21 5 5 5
     64   13   16   18 5 5 5
     65   13   16   19 4 4 4
     66   13   16   20 4 4 4
     67   13   16   21 4 4 4
     68   13   16   22 4 4 4
     69   13   16   23 4 4 4
     70   13   16   24 5 5 5
     71   13   17   17 5 5 5
     72   13   17   18 4 4 4
     73   13   17   19 3 3 3
     74   13   17   20 2 2 2
     75   13   17   21 2 2 2
     76   13   17   22 2 2 2
     77   13   17   23 3 3 3
     78   13   17   24 4 4 4
     79   13   17   25 5 5 5
     80   13   18   16 5 5 5
     81   13   18   17 4 4 4
     82   13   18   18 3 3 3
     83   13   18   19 2 2 2
     84   13   18   20 1 1 1
     85   13   18   21 1 1 1
     86   13   18   22 1 1 1
     87   13   18   23 2 2 2
     88   13   18   24 3 3 3
     89   13   18   25 4 4 4
     90   13   18   26 5 5 5
     91   13   19   16 4 4 4
     92   13   19   17 3 3 3
     93   13   19   18 2 2 2
     94   13   19   19 1 1 1
     95   13   19   20 1 1 1
     96   13   19   21 1 1 1
     97   13   19   22 1 1 1
     98   13   19   23 1 1 1
     99   13   19   24 2 2 2
    100   13   19   25 3 3 3
    101   13   19   26 4 4 4
    102   13   20   16 4 4 4
    103   13   20   17 2 2 2
    104   13   20   18 1 1 1
    105   13   20   19 1 1 1
    106   13   20   20 1 1 1
    107   13   20   21 1 1 1
    108   13   20   22 1 1 1
    109   13   20   23 1 1 1
    110   13   20   24 1 1 1
    111   13   20   25 2 2 2
    112   13   20   26 4 4 4
    113   13   21   15 5 5 5
    114   13   21   16 4 4 4
    115   13   21   17 2 2 2
    116   13   21   18 1 1 1
    117   13   21   19 1 1 1
    118   13   21   20 1 1 1
    119   13   21   21 1 1 1
    120   13   21   22 1 1 1
    121   13   21   23 1 1 1
    122   13   21   24 1 1 1
    123   13   21   25 2 2 2
    124   13   21   26 4 4 4
    125   13   21   27 5 5 5
    126   13   22   16 4 4 4
    127   13   22   17 2 2 2
    128   13   22   18 1 1 1
    129   13   22   19 1 1 1
    130   13   22   20 1 1 1
    131   13   22   21 1 1 1
    132   13   22   22 1 1 1
    133   13   22   23 1 1 1
    134   13   22   24 1 1 1
    135   13   22   25 2 2 2
