Mie Scattering and Absorption for 5Au_95Ag 20nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.000002 0.000208
280.00 0.000002 0.000188
290.00 0.000001 0.000168
300.00 0.000001 0.000149
310.00 0.000001 0.000129
320.00 0.000000 0.000098
330.00 0.000000 0.000094
340.00 0.000001 0.000131
350.00 0.000002 0.000229
360.00 0.000009 0.000545
370.00 0.000041 0.001597
380.00 0.000027 0.000761
390.00 0.000010 0.000229
400.00 0.000005 0.000098
410.00 0.000003 0.000053
420.00 0.000002 0.000032
430.00 0.000002 0.000022
440.00 0.000001 0.000016
450.00 0.000001 0.000012
460.00 0.000001 0.000009
470.00 0.000001 0.000007
480.00 0.000001 0.000006
490.00 0.000001 0.000005
500.00 0.000000 0.000004
510.00 0.000000 0.000004
520.00 0.000000 0.000003
530.00 0.000000 0.000003
540.00 0.000000 0.000002
550.00 0.000000 0.000002
560.00 0.000000 0.000002
570.00 0.000000 0.000002
580.00 0.000000 0.000002
590.00 0.000000 0.000002
600.00 0.000000 0.000001
610.00 0.000000 0.000001
620.00 0.000000 0.000001
630.00 0.000000 0.000001
640.00 0.000000 0.000001
650.00 0.000000 0.000001
660.00 0.000000 0.000001
670.00 0.000000 0.000001
680.00 0.000000 0.000001
690.00 0.000000 0.000001
700.00 0.000000 0.000001
710.00 0.000000 0.000001
720.00 0.000000 0.000001
730.00 0.000000 0.000001
740.00 0.000000 0.000001
750.00 0.000000 0.000001
760.00 0.000000 0.000001
770.00 0.000000 0.000001
780.00 0.000000 0.000001
790.00 0.000000 0.000001
800.00 0.000000 0.000000
810.00 0.000000 0.000000
820.00 0.000000 0.000000
830.00 0.000000 0.000000
840.00 0.000000 0.000000
850.00 0.000000 0.000000
860.00 0.000000 0.000000
870.00 0.000000 0.000000
880.00 0.000000 0.000000
890.00 0.000000 0.000000
900.00 0.000000 0.000000
910.00 0.000000 0.000000
920.00 0.000000 0.000000
930.00 0.000000 0.000000
940.00 0.000000 0.000000
950.00 0.000000 0.000000
960.00 0.000000 0.000000
970.00 0.000000 0.000000
980.00 0.000000 0.000000
990.00 0.000000 0.000000
1000.00 0.000000 0.000000
1010.00 0.000000 0.000000
1020.00 0.000000 0.000000
1030.00 0.000000 0.000000
1040.00 0.000000 0.000000
1050.00 0.000000 0.000000
1060.00 0.000000 0.000000
1070.00 0.000000 0.000000
1080.00 0.000000 0.000000
1090.00 0.000000 0.000000
1100.00 0.000000 0.000000
1110.00 0.000000 0.000000
1120.00 0.000000 0.000000
1130.00 0.000000 0.000000
1140.00 0.000000 0.000000
1150.00 0.000000 0.000000
1160.00 0.000000 0.000000
1170.00 0.000000 0.000000
1180.00 0.000000 0.000000
1190.00 0.000000 0.000000
1200.00 0.000000 0.000000
