lamda	real	imag
0.270000	-1.594903	0.132687
0.280000	-1.882295	0.147969
0.290000	-2.180082	0.164381
0.300000	-2.488258	0.181961
0.310000	-2.806818	0.200750
0.320000	-3.135754	0.220788
0.330000	-3.475061	0.242114
0.340000	-3.824732	0.264769
0.350000	-4.184760	0.288791
0.360000	-4.555137	0.314222
0.370000	-4.935856	0.341100
0.380000	-5.326911	0.369465
0.390000	-5.728292	0.399357
0.400000	-6.139993	0.430814
0.410000	-6.562004	0.463878
0.420000	-6.994319	0.498586
0.430000	-7.436927	0.534979
0.440000	-7.889821	0.573095
0.450000	-8.352991	0.612974
0.460000	-8.826428	0.654656
0.470000	-9.310124	0.698178
0.480000	-9.804067	0.743581
0.490000	-10.308250	0.790903
0.500000	-10.822661	0.840183
0.510000	-11.347291	0.891460
0.520000	-11.882130	0.944772
0.530000	-12.427166	1.000160
0.540000	-12.982389	1.057661
0.550000	-13.547789	1.117313
0.560000	-14.123353	1.179156
0.570000	-14.709072	1.243228
0.580000	-15.304932	1.309567
0.590000	-15.910924	1.378212
0.600000	-16.527034	1.449200
0.610000	-17.153251	1.522570
0.620000	-17.789562	1.598361
0.630000	-18.435956	1.676609
0.640000	-19.092419	1.757354
0.650000	-19.758938	1.840632
0.660000	-20.435501	1.926482
0.670000	-21.122095	2.014941
0.680000	-21.818705	2.106047
0.690000	-22.525319	2.199838
0.700000	-23.241923	2.296350
0.710000	-23.968502	2.395621
0.720000	-24.705043	2.497689
0.730000	-25.451532	2.602590
0.740000	-26.207953	2.710362
0.750000	-26.974293	2.821042
0.760000	-27.750535	2.934666
0.770000	-28.536667	3.051271
0.780000	-29.332671	3.170895
0.790000	-30.138533	3.293573
0.800000	-30.954237	3.419342
0.810000	-31.779767	3.548238
0.820000	-32.615108	3.680298
0.830000	-33.460243	3.815558
0.840000	-34.315157	3.954055
0.850000	-35.179832	4.095823
0.860000	-36.054252	4.240899
0.870000	-36.938400	4.389319
0.880000	-37.832259	4.541119
0.890000	-38.735813	4.696333
0.900000	-39.649043	4.854998
0.910000	-40.571933	5.017148
0.920000	-41.504464	5.182820
0.930000	-42.446620	5.352048
0.940000	-43.398381	5.524867
0.950000	-44.359729	5.701312
0.960000	-45.330648	5.881418
0.970000	-46.311117	6.065219
0.980000	-47.301118	6.252751
0.990000	-48.300633	6.444047
1.000000	-49.309642	6.639142
1.010000	-50.328126	6.838070
1.020000	-51.356067	7.040866
1.030000	-52.393444	7.247562
1.040000	-53.440238	7.458194
1.050000	-54.496430	7.672794
1.060000	-55.561998	7.891397
1.070000	-56.636924	8.114036
1.080000	-57.721187	8.340743
1.090000	-58.814766	8.571553
1.100000	-59.917641	8.806499
1.110000	-61.029791	9.045613
1.120000	-62.151196	9.288928
1.130000	-63.281835	9.536478
1.140000	-64.421685	9.788294
1.150000	-65.570727	10.044409
1.160000	-66.728938	10.304855
1.170000	-67.896297	10.569665
1.180000	-69.072783	10.838871
1.190000	-70.258372	11.112504
1.200000	-71.453044	11.390597
